locus_tag	gene	product	go_terms
EQU24_RS00055		DUF3240 domain-containing protein	[]
EQU24_RS00060		bifunctional diguanylate cyclase/phosphodiesterase	['GO:0016740', 'GO:0005515', 'GO:0016021']
EQU24_RS00065		DUF839 domain-containing protein	['GO:0016021']
EQU24_RS00070	tatA	twin-arginine translocase TatA/TatE family subunit	['GO:0006810', 'GO:0015399', 'GO:0005215', 'GO:0051179', 'GO:0034613', 'GO:0042886', 'GO:0009987', 'GO:0044459', 'GO:0008565', 'GO:0005886', 'GO:0022804', 'GO:0005887', 'GO:0016020', 'GO:0033036', 'GO:0044464', 'GO:0046907', 'GO:0015450', 'GO:0022857', 'GO:0016021', 'GO:0051641', 'GO:0006886', 'GO:0042887', 'GO:0005488', 'GO:0009306', 'GO:0008104', 'GO:0045184', 'GO:0098797', 'GO:0033281', 'GO:0070727', 'GO:0005515', 'GO:0031226', 'GO:0044444', 'GO:0008150', 'GO:0015031', 'GO:0032991', 'GO:0003674', 'GO:0008320', 'GO:0005737', 'GO:0065002', 'GO:0005622', 'GO:0044424', 'GO:0044425', 'GO:0042802', 'GO:0015405', 'GO:1904680', 'GO:0022884', 'GO:0015291', 'GO:0005829', 'GO:0071705', 'GO:0071806', 'GO:0005623', 'GO:0071702', 'GO:0098796', 'GO:0051649', 'GO:0071944', 'GO:0009977', 'GO:0043953', 'GO:0002790', 'GO:0015833', 'GO:0031224', 'GO:0055085', 'GO:0051234', 'GO:0046903', 'GO:0032940', 'GO:0005575']
EQU24_RS00075	tatB	twin-arginine translocase subunit TatB	['GO:0006810', 'GO:0008320', 'GO:0015399', 'GO:0065002', 'GO:0005215', 'GO:0051179', 'GO:0034613', 'GO:0044425', 'GO:0042802', 'GO:0015405', 'GO:0042886', 'GO:1904680', 'GO:0044459', 'GO:0008565', 'GO:0005886', 'GO:0015291', 'GO:0022804', 'GO:0005887', 'GO:0022884', 'GO:0071705', 'GO:0071806', 'GO:0016020', 'GO:0033036', 'GO:0044464', 'GO:0005623', 'GO:0071702', 'GO:0098796', 'GO:0051649', 'GO:0046907', 'GO:0071944', 'GO:0015450', 'GO:0022857', 'GO:0016021', 'GO:0051641', 'GO:0006886', 'GO:0009977', 'GO:0042887', 'GO:0043953', 'GO:0005488', 'GO:0015833', 'GO:0031224', 'GO:0008104', 'GO:0045184', 'GO:0051234', 'GO:0055085', 'GO:0098797', 'GO:0033281', 'GO:0070727', 'GO:0005515', 'GO:0005575', 'GO:0031226', 'GO:0008150', 'GO:0015031', 'GO:0032991', 'GO:0003674']
EQU24_RS00080		hypothetical protein	['GO:0055114', 'GO:0016705', 'GO:0005506', 'GO:0031418']
EQU24_RS00085		prolipoprotein diacylglyceryl transferase	['GO:0006807', 'GO:0044260', 'GO:0016757', 'GO:0044425', 'GO:0008961', 'GO:0034645', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:0044459', 'GO:0005886', 'GO:0005887', 'GO:0051604', 'GO:1901566', 'GO:0009058', 'GO:0009249', 'GO:0040007', 'GO:0016020', 'GO:0044238', 'GO:0044464', 'GO:0016740', 'GO:0005623', 'GO:0018193', 'GO:0018205', 'GO:0071944', 'GO:0009059', 'GO:1901576', 'GO:0006464', 'GO:0016021', 'GO:0043412', 'GO:0036211', 'GO:0098552', 'GO:0009898', 'GO:0140096', 'GO:0003824', 'GO:0031224', 'GO:0042157', 'GO:0008150', 'GO:1901564', 'GO:0018065', 'GO:0010467', 'GO:0098562', 'GO:0005575', 'GO:0042158', 'GO:0044237', 'GO:0031226', 'GO:0071704', 'GO:0044249', 'GO:0044267', 'GO:0019538', 'GO:0003674']
EQU24_RS00090	thyA	thymidylate synthase	['GO:0034404', 'GO:0046434', 'GO:0009123', 'GO:0046385', 'GO:0009056', 'GO:0019439', 'GO:0006221', 'GO:0006796', 'GO:0034655', 'GO:0009314', 'GO:0019637', 'GO:1901136', 'GO:0008168', 'GO:0006725', 'GO:0008152', 'GO:0009987', 'GO:0009165', 'GO:0046073', 'GO:0009129', 'GO:0043167', 'GO:1901566', 'GO:0000287', 'GO:0044271', 'GO:0044238', 'GO:0044464', 'GO:0006235', 'GO:0009262', 'GO:0006231', 'GO:0009394', 'GO:0006793', 'GO:0006220', 'GO:0042083', 'GO:0009265', 'GO:0009159', 'GO:0019438', 'GO:0005488', 'GO:0072528', 'GO:0009223', 'GO:1901564', 'GO:0009178', 'GO:0009162', 'GO:0009176', 'GO:0016741', 'GO:0034654', 'GO:0046078', 'GO:1901361', 'GO:1901360', 'GO:0044444', 'GO:0008150', 'GO:0006753', 'GO:0046483', 'GO:0003674', 'GO:0005737', 'GO:0009264', 'GO:0046872', 'GO:0005622', 'GO:1901292', 'GO:0009125', 'GO:0044424', 'GO:0006807', 'GO:0043169', 'GO:0046700', 'GO:0009130', 'GO:0009157', 'GO:0072527', 'GO:1901362', 'GO:0050896', 'GO:0009219', 'GO:0046079', 'GO:0072529', 'GO:0018130', 'GO:0046386', 'GO:0009117', 'GO:0009263', 'GO:0005829', 'GO:0009058', 'GO:0034641', 'GO:1901293', 'GO:1901135', 'GO:0016740', 'GO:0090407', 'GO:0009221', 'GO:0005623', 'GO:0044248', 'GO:1901576', 'GO:0055086', 'GO:0009166', 'GO:1901575', 'GO:0019692', 'GO:0044283', 'GO:0003824', 'GO:0006244', 'GO:0006139', 'GO:0009177', 'GO:0005575', 'GO:0044281', 'GO:0032259', 'GO:0009131', 'GO:0044237', 'GO:0004799', 'GO:0009628', 'GO:0044270', 'GO:1901137', 'GO:0071704', 'GO:0044249', 'GO:0009124', 'GO:1901565']
EQU24_RS00095		hypothetical protein	['GO:0016787']
EQU24_RS00100		YchJ family protein	[]
EQU24_RS00105	crp	cAMP-activated global transcriptional regulator CRP	['GO:0010604', 'GO:0006351', 'GO:1903506', 'GO:2000112', 'GO:0010558', 'GO:0009891', 'GO:0003677', 'GO:0010468', 'GO:0009605', 'GO:0008152', 'GO:2001141', 'GO:0009987', 'GO:0031325', 'GO:0043170', 'GO:0061984', 'GO:0044271', 'GO:0044238', 'GO:0044464', 'GO:1902679', 'GO:0045934', 'GO:0051252', 'GO:0031328', 'GO:0031670', 'GO:0031327', 'GO:0051716', 'GO:0019219', 'GO:0006355', 'GO:0005515', 'GO:0016070', 'GO:0031326', 'GO:0034654', 'GO:1901360', 'GO:0060255', 'GO:0044444', 'GO:0048518', 'GO:0050794', 'GO:0046483', 'GO:0003674', 'GO:0070887', 'GO:0009892', 'GO:0005737', 'GO:0010556', 'GO:0044260', 'GO:0044424', 'GO:0097659', 'GO:2000113', 'GO:0042802', 'GO:0034645', 'GO:0051172', 'GO:0018130', 'GO:0003676', 'GO:0009058', 'GO:0045893', 'GO:0010557', 'GO:0051173', 'GO:0031323', 'GO:0032553', 'GO:0036094', 'GO:1901576', 'GO:0010605', 'GO:0009991', 'GO:0010629', 'GO:0032993', 'GO:0006139', 'GO:0019001', 'GO:0005575', 'GO:1901265', 'GO:0009890', 'GO:0045013', 'GO:0017076', 'GO:0009893', 'GO:0044249', 'GO:0071704', 'GO:0097367', 'GO:0000166', 'GO:0030551', 'GO:0045935', 'GO:0008144', 'GO:0031669', 'GO:0006725', 'GO:0080090', 'GO:0007584', 'GO:0051253', 'GO:0043167', 'GO:1903507', 'GO:0048519', 'GO:0050789', 'GO:0090304', 'GO:0031324', 'GO:0061985', 'GO:1903508', 'GO:0140110', 'GO:0097159', 'GO:0019438', 'GO:0005488', 'GO:0051171', 'GO:0010467', 'GO:0032774', 'GO:1901363', 'GO:0046983', 'GO:1902680', 'GO:0008150', 'GO:0032991', 'GO:0048522', 'GO:0035438', 'GO:0005622', 'GO:0071496', 'GO:0006807', 'GO:0043168', 'GO:0031667', 'GO:1901362', 'GO:0050896', 'GO:0003700', 'GO:0010628', 'GO:0043565', 'GO:0065007', 'GO:0042221', 'GO:0005829', 'GO:0034641', 'GO:0045892', 'GO:0005623', 'GO:0009889', 'GO:0009059', 'GO:0051254', 'GO:0032561', 'GO:0007154', 'GO:0031668', 'GO:0019222', 'GO:0032555', 'GO:0048523', 'GO:0044237', 'GO:0045990']
EQU24_RS00110		OsmC family protein	[]
EQU24_RS00115	speD	adenosylmethionine decarboxylase	['GO:0005737', 'GO:0016831', 'GO:0005622', 'GO:0006807', 'GO:0044424', 'GO:0006596', 'GO:0008216', 'GO:0006576', 'GO:0008152', 'GO:0009987', 'GO:0005829', 'GO:0008295', 'GO:0009058', 'GO:0034641', 'GO:0044271', 'GO:1901566', 'GO:0044464', 'GO:0005623', 'GO:0097164', 'GO:0009308', 'GO:1901576', 'GO:0006595', 'GO:0044106', 'GO:0003824', 'GO:0008150', 'GO:0006557', 'GO:0042401', 'GO:1901564', 'GO:0009309', 'GO:0016829', 'GO:0016830', 'GO:0005575', 'GO:0004014', 'GO:0044237', 'GO:0044444', 'GO:0071704', 'GO:0044249', 'GO:0003674']
EQU24_RS00125		autotransporter outer membrane beta-barrel domain-containing protein	['GO:0019867', 'GO:0052689', 'GO:0016289', 'GO:0016788', 'GO:0016787', 'GO:0016790', 'GO:0016290', 'GO:0003824', 'GO:0047617', 'GO:0003674']
EQU24_RS00130		hypothetical protein	[]
EQU24_RS00135		DUF2807 domain-containing protein	['GO:0016021']
EQU24_RS00140		OmpA family protein	['GO:0009279', 'GO:0016021']
EQU24_RS00145		hypothetical protein	['GO:0009628', 'GO:0006950', 'GO:0006970', 'GO:0008150', 'GO:0050896']
EQU24_RS00150		DUF4384 domain-containing protein	[]
EQU24_RS00155		hypothetical protein	[]
EQU24_RS00160		hypothetical protein	['GO:0016020']
EQU24_RS00165		hypothetical protein	[]
EQU24_RS00170		caspase family protein	['GO:0004197', 'GO:0006508']
EQU24_RS00175		hypothetical protein	['GO:0006313', 'GO:0003677', 'GO:0004803', 'GO:0016020']
EQU24_RS00180		ISAzo13 family transposase	['GO:0003677']
EQU24_RS00185		hypothetical protein	['GO:0006313', 'GO:0003677', 'GO:0004803']
EQU24_RS00190		hypothetical protein	['GO:0006313', 'GO:0003677', 'GO:0004803']
EQU24_RS00195		DUF4338 domain-containing protein	[]
EQU24_RS00200		hypothetical protein	['GO:0004519', 'GO:0090305']
EQU24_RS00205		IS66 family transposase	[]
EQU24_RS00210		DUF3800 domain-containing protein	[]
EQU24_RS00215		type II toxin-antitoxin system HicB family antitoxin	[]
EQU24_RS00220		type II toxin-antitoxin system HicA family toxin	['GO:0003729']
EQU24_RS00225		HAD family hydrolase	['GO:0016311', 'GO:0016791']
EQU24_RS00230		hypothetical protein	[]
EQU24_RS00235		type II toxin-antitoxin system RelE/ParE family toxin	[]
EQU24_RS00240		hypothetical protein	[]
EQU24_RS00245		cation transporter	['GO:0098655', 'GO:0008324', 'GO:0016021']
EQU24_RS00250		hypothetical protein	['GO:0016021']
EQU24_RS00255		hypothetical protein	[]
EQU24_RS00260		hypothetical protein	['GO:0016021']
EQU24_RS00265		glucosidase	['GO:0009311', 'GO:0004573']
EQU24_RS00270		Crp/Fnr family transcriptional regulator	['GO:0006355', 'GO:0003677', 'GO:0016301', 'GO:0016310']
EQU24_RS00275		hypothetical protein	[]
EQU24_RS00280		adenylate/guanylate cyclase domain-containing protein	['GO:0004016', 'GO:0009190', 'GO:0016021', 'GO:0035556']
EQU24_RS00285		protein kinase	['GO:0005524', 'GO:0004672', 'GO:0000187', 'GO:0016021']
EQU24_RS00290		hypothetical protein	['GO:0016021']
EQU24_RS00295		hypothetical protein	[]
EQU24_RS00300		AAA family ATPase	['GO:0000155', 'GO:0000187', 'GO:0000160', 'GO:0018106', 'GO:0005524', 'GO:0005515']
EQU24_RS00305		response regulator	['GO:0000160']
EQU24_RS00310		GGDEF domain-containing response regulator	['GO:0006355', 'GO:0000160']
EQU24_RS00315		CPBP family intramembrane metalloprotease	['GO:0004197', 'GO:0071586', 'GO:0016021', 'GO:0008237']
EQU24_RS00320		YcgL domain-containing protein	[]
EQU24_RS00330		flippase	['GO:0016021']
EQU24_RS00335		hypothetical protein	['GO:0008146']
EQU24_RS00340		hypothetical protein	['GO:0008146']
EQU24_RS00345		hypothetical protein	['GO:0008146']
EQU24_RS00350		methyltransferase domain-containing protein	['GO:0008168', 'GO:0032259']
EQU24_RS00355		glycosyltransferase	['GO:0016740']
EQU24_RS00360		glycosyltransferase	['GO:0071704', 'GO:0044249', 'GO:1901576', 'GO:0046467', 'GO:0006629', 'GO:0016757', 'GO:0009247', 'GO:0003824', 'GO:1903509', 'GO:0016758', 'GO:0008152', 'GO:0009987', 'GO:0044237', 'GO:0006664', 'GO:0009058', 'GO:1901137', 'GO:0006643', 'GO:0044238', 'GO:0044255', 'GO:1901135', 'GO:0016740', 'GO:0008150', 'GO:0008610', 'GO:0003674']
EQU24_RS00365		glycosyltransferase family 2 protein	['GO:0016740', 'GO:0016021']
EQU24_RS00370		hypothetical protein	['GO:0016787', 'GO:0016021', 'GO:0009399']
EQU24_RS00375		glycosyltransferase	['GO:0016757']
EQU24_RS00380		SDR family oxidoreductase	['GO:0050662', 'GO:0003978']
EQU24_RS00385		hypothetical protein	['GO:0016021']
EQU24_RS00390		glycosyltransferase family 4 protein	['GO:0008963', 'GO:0016021']
EQU24_RS00395		ATP-binding protein	[]
EQU24_RS00400		polysaccharide biosynthesis protein	['GO:0043900', 'GO:0065007', 'GO:1900192', 'GO:0016021', 'GO:0048522', 'GO:0048518', 'GO:0050789', 'GO:0043902', 'GO:0050794', 'GO:0008150', 'GO:1900190']
EQU24_RS00405		LysR family transcriptional regulator	['GO:0006355', 'GO:0003677', 'GO:0003700']
EQU24_RS00410		methyltransferase domain-containing protein	['GO:0008168', 'GO:0032259']
EQU24_RS00415		rhodanese-like domain-containing protein	['GO:0016740']
EQU24_RS00420	typA	translational GTPase TypA	['GO:0003924', 'GO:0022607', 'GO:0005737', 'GO:0005622', 'GO:0044424', 'GO:0006996', 'GO:0050896', 'GO:0009987', 'GO:0042273', 'GO:0009408', 'GO:0005829', 'GO:0022618', 'GO:0044464', 'GO:0005623', 'GO:0043933', 'GO:0070925', 'GO:0034622', 'GO:0006950', 'GO:0071840', 'GO:0000027', 'GO:0071826', 'GO:0009266', 'GO:0065003', 'GO:0042255', 'GO:0044085', 'GO:0009409', 'GO:0016043', 'GO:0005525', 'GO:0005575', 'GO:0022613', 'GO:0009628', 'GO:0044444', 'GO:0008150', 'GO:0042254']
EQU24_RS00425	hisB	imidazoleglycerol-phosphate dehydratase HisB	['GO:0052803', 'GO:0006520', 'GO:0005737', 'GO:0006807', 'GO:1901362', 'GO:0006796', 'GO:0046394', 'GO:0016836', 'GO:0042802', 'GO:0006725', 'GO:0016791', 'GO:0008152', 'GO:0018130', 'GO:0009987', 'GO:0004401', 'GO:0016788', 'GO:0009058', 'GO:0034641', 'GO:0006547', 'GO:0016787', 'GO:0040007', 'GO:0044238', 'GO:1901566', 'GO:0043436', 'GO:0016053', 'GO:1901576', 'GO:0004424', 'GO:0006793', 'GO:1901607', 'GO:0000105', 'GO:0042578', 'GO:0019438', 'GO:0044283', 'GO:0005488', 'GO:0003824', 'GO:0019752', 'GO:0008150', 'GO:0016835', 'GO:1901564', 'GO:1901605', 'GO:0006082', 'GO:0008652', 'GO:0016829', 'GO:0005515', 'GO:0044281', 'GO:0016311', 'GO:0044237', 'GO:1901360', 'GO:0071704', 'GO:0044249', 'GO:0046483', 'GO:0003674']
EQU24_RS00430	hisH	imidazole glycerol phosphate synthase subunit HisH	['GO:0052803', 'GO:0005618', 'GO:0006520', 'GO:0005737', 'GO:0006807', 'GO:0000107', 'GO:0016884', 'GO:1901362', 'GO:0046394', 'GO:0006725', 'GO:0008152', 'GO:0018130', 'GO:0009987', 'GO:1901566', 'GO:0009058', 'GO:0034641', 'GO:0006547', 'GO:0040007', 'GO:0044238', 'GO:0004359', 'GO:0044464', 'GO:0043436', 'GO:0005623', 'GO:0016053', 'GO:0071944', 'GO:0030312', 'GO:1901576', 'GO:0016879', 'GO:1901607', 'GO:0000105', 'GO:0019438', 'GO:0044283', 'GO:0003824', 'GO:0006541', 'GO:0019752', 'GO:0008150', 'GO:1901564', 'GO:1901605', 'GO:0006082', 'GO:0008652', 'GO:0016829', 'GO:0005575', 'GO:0044281', 'GO:0016874', 'GO:0044237', 'GO:1901360', 'GO:0071704', 'GO:0044249', 'GO:0046483', 'GO:0003674']
EQU24_RS00435	hisA	1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase	['GO:0052803', 'GO:0006520', 'GO:0005737', 'GO:0006586', 'GO:0005622', 'GO:0044249', 'GO:0006807', 'GO:0044424', 'GO:0046219', 'GO:0009072', 'GO:0006568', 'GO:1901362', 'GO:0046394', 'GO:0006725', 'GO:0006576', 'GO:0008152', 'GO:0018130', 'GO:0042435', 'GO:0009987', 'GO:0003949', 'GO:0016861', 'GO:1901566', 'GO:0009058', 'GO:0034641', 'GO:0006547', 'GO:0044271', 'GO:0044238', 'GO:0044464', 'GO:0043436', 'GO:0005623', 'GO:0016053', 'GO:0016860', 'GO:0009308', 'GO:1901576', 'GO:1901607', 'GO:0000105', 'GO:0019438', 'GO:0044283', 'GO:0044106', 'GO:0003824', 'GO:0019752', 'GO:0008150', 'GO:0042401', 'GO:1901564', 'GO:1901605', 'GO:0009309', 'GO:0006082', 'GO:0008652', 'GO:0042430', 'GO:0000162', 'GO:0005575', 'GO:0044281', 'GO:0044237', 'GO:0016853', 'GO:1901360', 'GO:0071704', 'GO:0009073', 'GO:0046483', 'GO:0003674']
EQU24_RS00440	hisF	imidazole glycerol phosphate synthase subunit HisF	['GO:0009382', 'GO:0006520', 'GO:0006586', 'GO:0046219', 'GO:1990234', 'GO:0006568', 'GO:0046394', 'GO:0006725', 'GO:0008152', 'GO:0009987', 'GO:0016861', 'GO:1901566', 'GO:0044271', 'GO:0044238', 'GO:0044464', 'GO:0043436', 'GO:0016053', 'GO:0016860', 'GO:0009308', 'GO:0000105', 'GO:0019438', 'GO:0044106', 'GO:0019752', 'GO:1901564', 'GO:0016829', 'GO:0016853', 'GO:1901360', 'GO:0044444', 'GO:0008652', 'GO:0008150', 'GO:0046483', 'GO:0032991', 'GO:0003674', 'GO:0052803', 'GO:0005737', 'GO:0005622', 'GO:0044249', 'GO:0006807', 'GO:0044424', 'GO:0000107', 'GO:0009072', 'GO:0016757', 'GO:1901362', 'GO:0042435', 'GO:0006576', 'GO:0018130', 'GO:0003949', 'GO:0005829', 'GO:0009058', 'GO:0034641', 'GO:0006547', 'GO:0016740', 'GO:0005623', 'GO:1902494', 'GO:1901576', 'GO:1901607', 'GO:0044283', 'GO:0003824', 'GO:0042401', 'GO:1901605', 'GO:0016763', 'GO:0009309', 'GO:0006082', 'GO:0042430', 'GO:0000162', 'GO:0005575', 'GO:0044281', 'GO:0044237', 'GO:0071704', 'GO:0009073']
EQU24_RS00445	hisI	phosphoribosyl-AMP cyclohydrolase	['GO:0052803', 'GO:0019238', 'GO:0006520', 'GO:0005737', 'GO:0006807', 'GO:1901362', 'GO:0046394', 'GO:0006725', 'GO:0008152', 'GO:0018130', 'GO:0009987', 'GO:1901566', 'GO:0000287', 'GO:0009058', 'GO:0034641', 'GO:0006547', 'GO:0016787', 'GO:0044238', 'GO:0043436', 'GO:0016053', 'GO:1901576', 'GO:0008270', 'GO:1901607', 'GO:0000105', 'GO:0019438', 'GO:0044283', 'GO:0003824', 'GO:0019752', 'GO:0008150', 'GO:0016814', 'GO:1901564', 'GO:1901605', 'GO:0006082', 'GO:0008652', 'GO:0044281', 'GO:0044237', 'GO:1901360', 'GO:0004635', 'GO:0071704', 'GO:0044249', 'GO:0016810', 'GO:0046483', 'GO:0003674']
EQU24_RS00450		phosphoribosyl-ATP diphosphatase	['GO:0006520', 'GO:0046394', 'GO:0009605', 'GO:0006725', 'GO:0008152', 'GO:0009987', 'GO:0043167', 'GO:0004636', 'GO:0043207', 'GO:1901566', 'GO:0000287', 'GO:0044238', 'GO:0005524', 'GO:0043436', 'GO:0044403', 'GO:0044419', 'GO:0044464', 'GO:0016053', 'GO:0030312', 'GO:0075139', 'GO:0000105', 'GO:0019438', 'GO:0005488', 'GO:0019752', 'GO:0051704', 'GO:1901564', 'GO:0016817', 'GO:0016818', 'GO:1901360', 'GO:0008150', 'GO:0016462', 'GO:0008652', 'GO:0046483', 'GO:0003674', 'GO:0052803', 'GO:0005618', 'GO:0005737', 'GO:0046872', 'GO:0006807', 'GO:0043169', 'GO:0051701', 'GO:1901362', 'GO:0050896', 'GO:0075136', 'GO:0018130', 'GO:0009058', 'GO:0034641', 'GO:0006547', 'GO:0016787', 'GO:0040007', 'GO:0005623', 'GO:0071944', 'GO:1901576', 'GO:1901607', 'GO:0044283', 'GO:0003824', 'GO:1901605', 'GO:0009607', 'GO:0006082', 'GO:0005575', 'GO:0044281', 'GO:0044237', 'GO:0051707', 'GO:0071704', 'GO:0044249']
